asset_type,transaction_hash,timestamp,value_trx,value_usd
TRC20,d56e0e4a94b7468a110d2f0f9b362f70ef0a0e8a1269a79b0dfdaaa1ce8d154f,12/06/2023,5e-06,3.5510000000000005e-07
TRC20,68d28615af6799fbabf63d9241927bd63abf9a61a1d16f3e5e1a21a863b83637,12/06/2023,7111.297892,505.04437628984
TRC20,8f9ed2132b5464e3c2ecce3b5f469a7ba6425c607ade3021469ae6c1edcb06eb,10/06/2023,0.0807,0.005623176
TRC20,79ad24452ac53ef76f27795eee3eb85bcb3911906240c3dd4b757b2a163b34a9,10/06/2023,0.01,0.0006968
TRC20,f7feff81e0e491075bb1962fbaafaf28315246e48684fce394710b37f19be8cb,10/06/2023,1e-06,6.968e-08
TRC20,9455cb28cac791c30e6b5fb2f147083754dcec28499b11a514dd964a99741f0e,10/06/2023,1e-06,6.968e-08
TRC20,80e03c3c705ce3c6e622173f83edeb9a8fe2f3bef1d023b914cc5cb11fc205f8,10/06/2023,5e-06,6.968e-08
TRC20,6413e2b94338a884af85164c5fc3d9b8281849de83d3441e1360e877e231d228,10/06/2023,1397.855045,97.40253953560001
