asset_type,transaction_hash,timestamp,value_usd
Bitcoin,7ee44d4c38b59e989ce92f335d388bf3cbc744c4db2e6a80f77d364678a34945,30/06/2023,632668.5169652144
Bitcoin,2593c530240b2fb7e52700c577bb6cfe93fec9bf9e9b9c0952886555ac7bb1bf,30/06/2023,635016.6009294345
Bitcoin,6530f66b6647f2ddf70d11463fb5944db9967579a9eaaa83601742df069b72b5,30/06/2023,633339.2932368678
Bitcoin,961eff1bfa060c4dfd5f5749613dda4e44677f21adb8ad1827da9f7c4faf9c90,30/06/2023,5246207.96935095
Bitcoin,f3c7784f10891be054933c0eb8f1193e8be0fc8e2ba12969165c843851e66219,30/06/2023,635904.3713726404
Bitcoin,9d1c50a1fd1e51889e546142cd90aa845f1a2964f7d1dea605ad69d40671d2f3,30/06/2023,638438.7693049759
Bitcoin,10921716fcbaf881b01957be272b0c2a44b239abf8c51dccec9a3c774d9d3808,30/06/2023,4245142.66781886
Bitcoin,c594844b02a07e8577195438e8841788e4317517ac7483f41e0ed1e764fe73bc,30/06/2023,7949636.16990725
Bitcoin,123f962d6e707d40d7289b10b1e5052262197c9838b3e08debc5adad2471a010,30/06/2023,1273781.0670414732
Bitcoin,1faeb02215e0c7c8e102f285c5bb63839ffba42185fada455aeab5a82793673e,30/06/2023,631576.6508586347
Bitcoin,5351e7f0ff77621ddc1352130e56022fcaa7c90c8c5e0dd861e8a9c41a6cd499,30/06/2023,639106.04882034
Bitcoin,e65f20fce924989384222a6f40ceaaee88244217612e5952996aa35d39a28346,30/06/2023,635220.4203336199
Bitcoin,91b91a6726d6adc26c401f3894b954e6c8fd1f02239a901adb9a40253f96c72f,30/06/2023,635195.3444172072
